##Checked genes Ensembl
##date=20/5/2021
##Gene stable ID	HGNC symbol	Transcript_stable_ID
AT3G30841		AT3G30841.2
AT2G03667		AT2G03667.1
AT1G34770		AT1G34770.4
AT3G43240	ARID4	AT3G43240.1
AT1G79620		AT1G79620.5
AT2G24820	TIC55	AT2G24820.1
AT4G33620	ULP2A	AT4G33620.1
AT5G49310	IMPA5	AT5G49310.1
AT1G29810	PDL2	AT1G29810.1
AT4G28930		AT4G28930.1
AT1G17470	DRG1	AT1G17470.1
AT1G34380		AT1G34380.2
AT5G36240		AT5G36240.1
AT2G20120	COV1	AT2G20120.1
AT5G47670	NFYB6	AT5G47670.3
AT5G04070		AT5G04070.1
AT2G30690	MYOB4	AT2G30690.2
AT1G11785		AT1G11785.1
AT1G27580		AT1G27580.1
AT2G43850	ILK1	AT2G43850.1
AT4G18130	PHYE	AT4G18130.1
AT1G23870	TPS9	AT1G23870.1
AT3G49560	HP30-1	AT3G49560.1
AT5G36490		AT5G36490.1
AT5G46030		AT5G46030.2
AT5G09650	PPA6	AT5G09650.1
AT2G43000	JUB1	AT2G43000.1
AT1G52040	MBP1	AT1G52040.1
AT3G05858		AT3G05858.1
AT5G60860	RABA1F	AT5G60860.1
AT5G54035		AT5G54035.1
AT1G07901		AT1G07901.1
AT4G10220		AT4G10220.1
AT3G23790	AAE16	AT3G23790.1
AT4G02075	PIT1	AT4G02075.1
AT5G36190		AT5G36190.1
AT1G52650		AT1G52650.1
AT1G26750		AT1G26750.1
AT5G14980		AT5G14980.1
AT5G50150		AT5G50150.1
AT2G15020		AT2G15020.1
AT3G45070		AT3G45070.2
AT4G22590	TPPG	AT4G22590.1
AT5G30490		AT5G30490.1
AT5G22670		AT5G22670.1
AT4G35060	HIPP25	AT4G35060.1
AT1G11480		AT1G11480.1
AT3G49030		AT3G49030.1
AT1G12300		AT1G12300.1
AT5G47930	RPS27D	AT5G47930.1
AT1G61093		AT1G61093.1
AT2G37970	SOUL-1	AT2G37970.1
AT3G02420		AT3G02420.1
AT1G58190	AtRLP9	AT1G58190.2
AT1G09860	PUP16	AT1G09860.1
AT1G13280	AOC4	AT1G13280.1
AT5G15300	PCMP-E40	AT5G15300.1
AT4G34131	UGT73B3	AT4G34131.1
AT2G02130	PDF2.3	AT2G02130.1
AT5G03435		AT5G03435.1
AT3G18830	PLT5	AT3G18830.1
AT2G03570		AT2G03570.1
AT4G21670	CPL1	AT4G21670.1
AT1G02230	NAC004	AT1G02230.1
AT5G20140		AT5G20140.2
AT1G11630		AT1G11630.1
AT4G19440		AT4G19440.3
AT3G51890		AT3G51890.1
AT1G44085		AT1G44085.1
AT1G07390	AtRLP1	AT1G07390.3
AT1G13607		AT1G13607.1
AT1G08580		AT1G08580.1
AT2G25125		AT2G25125.1
AT1G59750	ARF1	AT1G59750.1
AT3G25950		AT3G25950.1
AT5G22145		AT5G22145.1
AT1G70209		AT1G70209.1
AT1G63660		AT1G63660.1
AT2G21660	RBG7	AT2G21660.1
AT1G15320		AT1G15320.1
AT1G79310	AMC7	AT1G79310.1
AT5G42980	TRX3	AT5G42980.1
AT1G70750	MYOB2	AT1G70750.1
AT5G35840	PHYC	AT5G35840.1
AT2G45210	SAUR36	AT2G45210.1
AT1G29390	COR413IM2	AT1G29390.1
AT4G16460		AT4G16460.2
AT5G50210	QS	AT5G50210.1
AT1G17870	EGY3	AT1G17870.1
AT5G38360		AT5G38360.1
AT1G15020	QSOX1	AT1G15020.2
AT1G23090	SULTR3;3	AT1G23090.1
AT4G01790		AT4G01790.1
AT4G38190	CSLD4	AT4G38190.1
AT1G72810	TS2	AT1G72810.1
AT5G45573		AT5G45573.1
AT2G01755		AT2G01755.2
AT5G25770		AT5G25770.3
AT1G56610		AT1G56610.1
AT4G09649		AT4G09649.1
AT2G03210	FUT2	AT2G03210.2
AT3G45990	ADF11	AT3G45990.1
AT5G51470		AT5G51470.1
AT3G46350		AT3G46350.1
AT5G64170	LNK1	AT5G64170.2
AT3G24850		AT3G24850.1
AT2G27630		AT2G27630.1
AT4G01590		AT4G01590.1
AT5G35970		AT5G35970.1
AT2G31390		AT2G31390.1
AT4G14315		AT4G14315.1
AT2G14635		AT2G14635.1
AT1G53460		AT1G53460.1
AT5G52240	MSBP1	AT5G52240.1
AT2G23250	UGT84B2	AT2G23250.1
AT3G62270	BOR2	AT3G62270.1
AT2G04400	IGPS	AT2G04400.1
AT1G76420	NAC031	AT1G76420.1
AT2G29150		AT2G29150.1
AT5G58090		AT5G58090.1
AT5G06950	TGA2	AT5G06950.5
AT4G35350	XCP1	AT4G35350.1
AT4G04930	DES-1-LIKE	AT4G04930.1
AT2G37900	NPF5.6	AT2G37900.1
AT5G19875		AT5G19875.1
AT1G19350	BES1	AT1G19350.3
AT3G06710		AT3G06710.1
AT4G29190		AT4G29190.1
AT1G68220		AT1G68220.1
AT2G33060	AtRLP27	AT2G33060.1
AT4G17080		AT4G17080.1
AT4G15700	GRXS3	AT4G15700.1
AT1G28327		AT1G28327.1
AT3G56900	AAAS	AT3G56900.1
AT3G25200		AT3G25200.1
AT1G15825		AT1G15825.1
AT3G49307		AT3G49307.1
ATMG00500	ORF141	ATMG00500.1
AT4G12680		AT4G12680.1
AT2G19540		AT2G19540.1
AT2G40190	ALG11	AT2G40190.1
AT1G59830	PP2A1	AT1G59830.1
AT1G67325		AT1G67325.2
AT5G64310	AGP1	AT5G64310.1
AT5G24280	GMI1	AT5G24280.1
AT3G06360	AGP27	AT3G06360.1
AT5G53770		AT5G53770.1
AT3G25719		AT3G25719.1
AT3G07230		AT3G07230.1
AT3G21352		AT3G21352.1
AT2G32835	RALFL16	AT2G32835.1
AT5G50345	ESFL11	AT5G50345.1
AT3G02610		AT3G02610.2
AT4G31354		AT4G31354.1
AT3G18270	CYP77A5P	AT3G18270.1
AT4G35680		AT4G35680.1
AT2G28490		AT2G28490.1
AT1G54215		AT1G54215.1
AT3G24200		AT3G24200.2
AT5G46680		AT5G46680.1
AT1G13080	CYP71B2	AT1G13080.1
AT3G49630		AT3G49630.1
AT3G47965		AT3G47965.1
AT1G53060		AT1G53060.1
AT2G26920		AT2G26920.1
AT5G66980		AT5G66980.1
AT5G19175		AT5G19175.1
AT5G04770	CAT6	AT5G04770.1
AT5G45400	RPA1C	AT5G45400.1
AT1G75945		AT1G75945.1
AT1G19980		AT1G19980.1
AT3G19810		AT3G19810.1
AT4G24670	TAR2	AT4G24670.1
AT2G04066		AT2G04066.1
AT1G30520	AAE14	AT1G30520.1
AT5G22030	UBP8	AT5G22030.2
AT1G19490		AT1G19490.1
AT4G27780	ACBP2	AT4G27780.1
AT1G56130		AT1G56130.2
AT5G16270	SYN4	AT5G16270.1
AT3G24460		AT3G24460.1
AT4G16280	FCA	AT4G16280.2
AT1G17990		AT1G17990.1
AT5G45550	MOB1A	AT5G45550.1
AT1G16916		AT1G16916.2
AT5G57280	RID2	AT5G57280.1
AT5G17340		AT5G17340.1
AT2G24460		AT2G24460.1
AT3G50380		AT3G50380.2
AT1G12580	PEPKR1	AT1G12580.1
AT3G43432		AT3G43432.1
AT3G56420		AT3G56420.2
AT1G22030		AT1G22030.1
AT3G17740		AT3G17740.1
AT4G20690		AT4G20690.1
AT3G06920		AT3G06920.2
AT5G44785	OSB3	AT5G44785.2
AT3G22723		AT3G22723.1
AT5G50290		AT5G50290.1
AT3G59200		AT3G59200.1
AT5G11360		AT5G11360.1
AT4G10260		AT4G10260.1
AT5G03520	RABE1D	AT5G03520.1
AT4G36430	PER49	AT4G36430.1
AT3G11240	ATE2	AT3G11240.1
AT2G07687		AT2G07687.1
AT1G50820		AT1G50820.2
AT1G55917		AT1G55917.1
AT5G23100		AT5G23100.1
AT4G16690	PPD	AT4G16690.1
AT2G03770	SOT13	AT2G03770.1
AT1G72460		AT1G72460.1
AT2G44160	MTHFR2	AT2G44160.1
AT4G10730		AT4G10730.1
AT5G33290	XGD1	AT5G33290.1
AT2G34810		AT2G34810.1
AT2G25305		AT2G25305.1
AT1G73010	PS2	AT1G73010.1
AT5G53050		AT5G53050.4
AT1G77920	TGA7	AT1G77920.1
AT1G75720		AT1G75720.1
AT3G03630	CS26	AT3G03630.1
AT5G23570	SGS3	AT5G23570.3
AT4G05520	EHD2	AT4G05520.1
AT5G15920	SMC5	AT5G15920.1
AT1G68585		AT1G68585.1
AT4G28405		AT4G28405.1
AT5G43000		AT5G43000.1
AT2G38040	CAC3	AT2G38040.1
AT4G29820	CFIS1	AT4G29820.1
AT4G24400	CIPK8	AT4G24400.1
AT5G20440	MOB2A	AT5G20440.1
AT4G32980	ATH1	AT4G32980.1
AT5G53150		AT5G53150.3
AT1G31140	AGL63	AT1G31140.2
AT5G07572		AT5G07572.1
AT3G20300		AT3G20300.1
ATMG00910	ORF215A	ATMG00910.1
AT5G50030		AT5G50030.1
AT1G11280		AT1G11280.1
AT5G06530	ABCG22	AT5G06530.1
AT3G59520	RBL13	AT3G59520.1
AT1G33870		AT1G33870.1
AT5G60805		AT5G60805.1
AT5G40880	ZFWD3	AT5G40880.1
AT3G49390	CID10	AT3G49390.1
AT5G19820	emb2734	AT5G19820.1
AT3G27750	THA8	AT3G27750.1
AT5G64667	IDL2	AT5G64667.1
AT1G72790		AT1G72790.1
AT1G58180	BCA6	AT1G58180.2
AT4G21050	DOF4.4	AT4G21050.1
AT2G24580		AT2G24580.1
AT3G13550	COP10	AT3G13550.1
AT1G01380	ETC1	AT1G01380.1
AT3G27140		AT3G27140.1
AT1G16690		AT1G16690.1
AT2G31200	ADF6	AT2G31200.1
AT3G56140	RER6	AT3G56140.1
AT1G72010	TCP22	AT1G72010.1
AT3G21550	DMP2	AT3G21550.1
AT2G29460	GSTU4	AT2G29460.1
AT3G20220		AT3G20220.1
AT1G08120		AT1G08120.1
AT2G35790		AT2G35790.1
AT1G26850		AT1G26850.2
AT3G59430		AT3G59430.6
AT5G02650		AT5G02650.1
AT4G11300		AT4G11300.1
AT3G18165	MOS4	AT3G18165.1
AT3G32040		AT3G32040.1
AT3G14830		AT3G14830.3
AT5G36170	PRFB1	AT5G36170.1
AT5G06600	UBP12	AT5G06600.1
AT1G18070		AT1G18070.3
AT2G40711		AT2G40711.1
AT5G63900		AT5G63900.1
AT1G56290		AT1G56290.1
AT4G25707		AT4G25707.1
AT3G51210	SOT2	AT3G51210.1
AT4G29300	LCR27	AT4G29300.1
AT3G24830	RPL13AB	AT3G24830.1
AT5G02995		AT5G02995.1
AT1G26920		AT1G26920.1
AT3G49610		AT3G49610.1
AT2G03270		AT2G03270.1
AT3G07830		AT3G07830.1
AT1G12370	PHR1	AT1G12370.2
AT2G29340		AT2G29340.1
AT5G03500		AT5G03500.6
AT1G25211		AT1G25211.1
AT5G17600	ATL52	AT5G17600.1
AT4G35650	IDH3	AT4G35650.1
AT2G32400	GLR3.7	AT2G32400.1
AT4G17560		AT4G17560.1
AT1G10350		AT1G10350.1
AT1G24160		AT1G24160.1
AT5G45800	MEE62	AT5G45800.1
AT3G04590	AHL14	AT3G04590.2
AT5G59560	SRR1	AT5G59560.2
AT2G37030		AT2G37030.1
AT4G31351		AT4G31351.1
AT2G35795	TIM14-1	AT2G35795.1
AT3G06380	TULP9	AT3G06380.1
AT1G15580	IAA5	AT1G15580.1
AT2G07835		AT2G07835.1
AT1G08280	GALT29A	AT1G08280.1
AT4G20030		AT4G20030.1
AT1G59560	SPL1	AT1G59560.1
AT1G20687		AT1G20687.1
AT5G16720	MYOB3	AT5G16720.1
AT3G12930	IJ	AT3G12930.1
AT2G32080	PURA1	AT2G32080.1
AT2G19600	KEA4	AT2G19600.1
AT1G74890	ARR15	AT1G74890.1
AT2G36950	HIPP05	AT2G36950.1
AT1G80000	MLN51	AT1G80000.2
AT4G39670		AT4G39670.1
AT5G41020		AT5G41020.1
AT1G71070		AT1G71070.1
AT3G28860	ABCB19	AT3G28860.1
AT5G09310		AT5G09310.1
AT2G24000	SCPL22	AT2G24000.1
AT2G25410	ATL22	AT2G25410.1
AT3G45220		AT3G45220.1
AT1G62262	SLAH4	AT1G62262.1
AT3G14700		AT3G14700.2
AT1G06820	CRTISO	AT1G06820.1
AT5G19920		AT5G19920.1
AT1G56590	AP3M	AT1G56590.1
AT2G25500		AT2G25500.1
ATMG00050	ORF131	ATMG00050.1
AT1G03260		AT1G03260.1
ATCG00380	RPS4	ATCG00380.1
AT1G58100	TCP8	AT1G58100.1
AT1G64195		AT1G64195.1
AT1G46912		AT1G46912.1
AT5G50270		AT5G50270.1
AT2G35130		AT2G35130.2
AT3G19895		AT3G19895.1
AT5G55190	RAN3	AT5G55190.1
AT4G10930		AT4G10930.1
AT1G24909		AT1G24909.1
AT4G37980	CAD7	AT4G37980.1
AT1G27440	IRX10	AT1G27440.1
AT3G03680		AT3G03680.1
AT1G05490	CLSY3	AT1G05490.1
AT1G69030		AT1G69030.1
AT3G28216		AT3G28216.1
AT5G18340	PUB48	AT5G18340.1
AT5G02250	RNR1	AT5G02250.1
AT5G60790	ABCF1	AT5G60790.1
AT2G42810	PAPP5	AT2G42810.2
AT5G50443		AT5G50443.1
AT2G39851		AT2G39851.1
AT4G07325		AT4G07325.1
AT3G43710		AT3G43710.1
AT2G32320	THG2	AT2G32320.2
AT1G72710	CKL2	AT1G72710.1
AT4G40080		AT4G40080.1
AT5G06140	SNX1	AT5G06140.1
AT4G09870		AT4G09870.1
AT3G03070		AT3G03070.1
AT4G03320	TIC20-IV	AT4G03320.1
AT1G04190	TPR3	AT1G04190.1
AT5G19400	SMG7	AT5G19400.1
AT1G61475		AT1G61475.1
AT2G04190		AT2G04190.1
AT1G05615		AT1G05615.1
AT3G44060		AT3G44060.1
AT5G36500		AT5G36500.1
AT3G61880	CYP78A9	AT3G61880.2
AT2G34410	RWA3	AT2G34410.2
AT4G32560		AT4G32560.2
AT2G18200		AT2G18200.1
AT1G32340	NHL8	AT1G32340.1
AT2G30390	FC2	AT2G30390.2
AT4G19900		AT4G19900.1
AT5G23070	TK1B	AT5G23070.1
AT4G07990		AT4G07990.1
AT1G52780		AT1G52780.1
AT5G24640		AT5G24640.1
AT4G39370	UBP27	AT4G39370.3
AT1G15770	MED15B	AT1G15770.1
AT1G69170	SPL6	AT1G69170.1
AT2G47710		AT2G47710.1
AT1G32337		AT1G32337.1
AT2G23755		AT2G23755.1
AT5G58310	MES18	AT5G58310.1
AT4G39350	CESA2	AT4G39350.1
AT1G12870		AT1G12870.1
AT3G49450		AT3G49450.1
AT1G54115	CCX4	AT1G54115.1
AT5G46410	SSP4	AT5G46410.2
AT3G61113	URM1-2	AT3G61113.1
AT1G66820		AT1G66820.1
AT4G14819		AT4G14819.1
AT3G46120	PAP19	AT3G46120.1
AT4G03480		AT4G03480.1
AT1G75250	ATRL6	AT1G75250.1
AT5G41870		AT5G41870.1
AT5G39230		AT5G39230.1
AT1G56100		AT1G56100.1
AT5G46370	TPK2	AT5G46370.1
AT1G45130	BGAL5	AT1G45130.1
AT1G13830		AT1G13830.2
AT3G22600		AT3G22600.1
AT4G23330		AT4G23330.1
AT4G16555		AT4G16555.1
AT5G04730		AT5G04730.1
AT4G04510	CRK38	AT4G04510.2
AT1G30010	NMAT1	AT1G30010.1
AT1G02040		AT1G02040.1
AT3G55710	UGT76F2	AT3G55710.1
AT5G36670		AT5G36670.1
AT5G22490		AT5G22490.1
AT1G24388		AT1G24388.1
AT5G41763		AT5G41763.1
AT2G40170	EM6	AT2G40170.1
AT3G03830	SAUR28	AT3G03830.1
AT5G40250	ATL46	AT5G40250.1
AT1G43780	SCPL44	AT1G43780.1
AT1G72370	RPSAA	AT1G72370.1
AT4G39410	WRKY13	AT4G39410.1
AT1G80480	PTAC17	AT1G80480.1
AT1G23460		AT1G23460.1
AT3G10920	MSD1	AT3G10920.1
AT5G51300	SF1	AT5G51300.2
AT2G21045	HAC1	AT2G21045.1
